Time(s)	Force(lb)	Position(mm)
0.1611	0.032391	47.9995
0.2111	0.032389	47.9990
0.2611	0.032387	47.9982
0.3404	0.032383	47.9965
0.3904	0.032389	47.9949
0.4404	0.032394	47.9933
0.4904	0.032391	47.9913
0.5322	0.032394	47.9894
0.5822	0.032394	47.9868
0.6322	0.032394	47.9841
0.6822	0.032400	47.9814
0.7401	0.032394	47.9777
0.7901	0.032391	47.9741
0.8401	0.032396	47.9706
0.8901	0.032408	47.9665
0.9321	0.032404	47.9631
0.9821	0.032402	47.9587
1.0321	0.032402	47.9539
1.0821	0.032391	47.9492
1.1403	0.032383	47.9430
1.1903	0.032385	47.9384
1.2403	0.032391	47.9334
1.2903	0.032389	47.9282
1.3319	0.032391	47.9245
1.3819	0.032391	47.9191
1.4319	0.032389	47.9136
1.4819	0.032398	47.9085
1.5399	0.032406	47.9032
1.5899	0.032398	47.8983
1.6399	0.032398	47.8931
1.6899	0.032400	47.8883
1.7317	0.032398	47.8841
1.7817	0.032394	47.8789
1.8317	0.032398	47.8742
1.8817	0.032402	47.8694
1.9396	0.032402	47.8634
1.9896	0.032400	47.8585
2.0396	0.032402	47.8536
2.0896	0.032404	47.8484
2.1316	0.032406	47.8438
2.1816	0.032408	47.8389
2.2316	0.032412	47.8339
2.2816	0.032420	47.8288
2.3395	0.032422	47.8232
2.3895	0.032414	47.8180
2.4395	0.032416	47.8132
2.4895	0.032420	47.8080
2.5314	0.032418	47.8036
2.5814	0.032422	47.7991
2.6314	0.032424	47.7944
2.6814	0.032426	47.7892
2.7393	0.032430	47.7836
2.7893	0.032426	47.7787
2.8393	0.032422	47.7734
2.8893	0.032426	47.7679
2.9312	0.032430	47.7639
2.9812	0.032434	47.7589
3.0312	0.032436	47.7537
3.0812	0.032438	47.7490
3.1392	0.032444	47.7429
3.1892	0.032444	47.7382
3.2392	0.032442	47.7335
3.2892	0.032442	47.7285
3.3311	0.032438	47.7241
3.3811	0.032438	47.7195
3.4311	0.032436	47.7143
3.4811	0.032442	47.7093
3.5391	0.032446	47.7035
3.5891	0.032446	47.6981
3.6391	0.032450	47.6929
3.6891	0.032452	47.6882
3.7310	0.032458	47.6840
3.7810	0.032458	47.6789
3.8310	0.032454	47.6741
3.8810	0.032452	47.6687
3.9228	0.032454	47.6647
3.9728	0.032460	47.6599
4.0228	0.032464	47.6545
4.0728	0.032462	47.6501
4.1310	0.032460	47.6440
4.1810	0.032462	47.6393
4.2310	0.032466	47.6343
4.2810	0.032481	47.6291
4.3227	0.032479	47.6252
4.3727	0.032471	47.6200
4.4227	0.032477	47.6151
4.4727	0.032479	47.6102
4.5308	0.032473	47.6043
4.5808	0.032473	47.5995
4.6308	0.032475	47.5940
4.6808	0.032487	47.5894
4.7225	0.032481	47.5853
4.7725	0.032475	47.5799
4.8225	0.032483	47.5754
4.8725	0.032497	47.5700
4.9304	0.032487	47.5642
4.9804	0.032485	47.5591
5.0304	0.032491	47.5540
5.0804	0.032499	47.5492
5.1224	0.032501	47.5448
5.1724	0.032493	47.5399
5.2224	0.032491	47.5348
5.2724	0.032499	47.5295
5.3305	0.032493	47.5242
5.3805	0.032497	47.5196
5.4305	0.032499	47.5146
5.4805	0.032497	47.5092
5.5221	0.032503	47.5048
5.5721	0.032513	47.5002
5.6221	0.032511	47.4948
5.6721	0.032507	47.4900
5.7301	0.032513	47.4842
5.7801	0.032511	47.4791
5.8301	0.032517	47.4743
5.8801	0.032521	47.4692
5.9221	0.032519	47.4652
5.9721	0.032527	47.4602
6.0221	0.032529	47.4548
6.0721	0.032531	47.4502
6.1299	0.032525	47.4440
6.1799	0.032527	47.4394
6.2299	0.032539	47.4344
6.2799	0.032544	47.4293
6.3218	0.032539	47.4254
6.3718	0.032537	47.4202
6.4218	0.032535	47.4152
6.4718	0.032533	47.4102
6.5297	0.032544	47.4042
6.5797	0.032544	47.3994
6.6297	0.032546	47.3938
6.6797	0.032552	47.3892
6.7217	0.032556	47.3853
6.7717	0.032556	47.3804
6.8217	0.032554	47.3751
6.8717	0.032558	47.3704
6.9296	0.032558	47.3646
6.9796	0.032560	47.3591
7.0296	0.032560	47.3539
7.0796	0.032560	47.3491
7.1215	0.032560	47.3453
7.1715	0.032560	47.3400
7.2215	0.032564	47.3351
7.2715	0.032568	47.3302
7.3134	0.032572	47.3256
7.3634	0.032568	47.3208
7.4134	0.032564	47.3158
7.4634	0.032570	47.3107
7.5213	0.032574	47.3051
7.5713	0.032574	47.3000
7.6213	0.032578	47.2953
7.6713	0.032582	47.2900
7.7140	0.032584	47.2858
7.7640	0.032586	47.2811
7.8140	0.032594	47.2757
7.8640	0.032598	47.2705
7.9212	0.032600	47.2650
7.9712	0.032596	47.2600
8.0212	0.032596	47.2548
8.0712	0.032600	47.2503
8.1131	0.032594	47.2457
8.1631	0.032598	47.2408
8.2131	0.032606	47.2361
8.2631	0.032610	47.2313
8.3210	0.032612	47.2253
8.3710	0.032610	47.2199
8.4210	0.032604	47.2151
8.4710	0.032614	47.2101
8.5129	0.032621	47.2058
8.5629	0.032623	47.2011
8.6129	0.032614	47.1960
8.6629	0.032612	47.1912
8.7209	0.032623	47.1854
8.7709	0.032631	47.1801
8.8209	0.032627	47.1748
8.8709	0.032623	47.1701
8.9127	0.032631	47.1658
8.9627	0.032633	47.1608
9.0127	0.032643	47.1560
9.0627	0.032637	47.1512
9.1207	0.032629	47.1452
9.1707	0.032641	47.1404
9.2207	0.032645	47.1354
9.2707	0.032645	47.1303
9.3126	0.032643	47.1262
9.3626	0.032645	47.1207
9.4126	0.032655	47.1159
9.4626	0.032649	47.1110
9.5205	0.032647	47.1050
9.5705	0.032653	47.1004
9.6205	0.032655	47.0951
9.6705	0.032661	47.0904
9.7125	0.032659	47.0862
9.7625	0.032659	47.0808
9.8125	0.032659	47.0762
9.8625	0.032667	47.0709
9.9204	0.032675	47.0653
9.9704	0.032671	47.0602
10.0204	0.032671	47.0552
10.0704	0.032669	47.0504
10.1123	0.032673	47.0459
10.1623	0.032677	47.0411
10.2123	0.032675	47.0362
10.2623	0.032673	47.0308
10.3042	0.032685	47.0264
10.3542	0.032689	47.0215
10.4042	0.032685	47.0167
10.4542	0.032687	47.0119
10.5121	0.032681	47.0061
10.5621	0.032685	47.0013
10.6121	0.032696	46.9962
10.6621	0.032698	46.9913
10.7041	0.032691	46.9872
10.7541	0.032694	46.9819
10.8041	0.032696	46.9766
10.8541	0.032702	46.9718
10.9119	0.032706	46.9660
10.9619	0.032702	46.9609
11.0119	0.032702	46.9560
11.0619	0.032716	46.9506
11.1042	0.032716	46.9467
11.1542	0.032718	46.9421
11.2042	0.032716	46.9372
11.2542	0.032722	46.9320
11.3118	0.032720	46.9258
11.3618	0.032718	46.9212
11.4118	0.032718	46.9159
11.4618	0.032724	46.9108
11.5037	0.032730	46.9068
11.5537	0.032732	46.9016
11.6037	0.032722	46.8968
11.6537	0.032728	46.8918
11.7116	0.032736	46.8860
11.7616	0.032740	46.8813
11.8116	0.032738	46.8759
11.8616	0.032738	46.8713
11.9035	0.032738	46.8671
11.9535	0.032740	46.8617
12.0035	0.032738	46.8565
12.0535	0.032744	46.8518
12.1115	0.032746	46.8464
12.1615	0.032750	46.8414
12.2115	0.032756	46.8364
12.2615	0.032752	46.8315
12.3034	0.032756	46.8272
12.3534	0.032754	46.8218
12.4034	0.032756	46.8167
12.4534	0.032771	46.8119
12.5113	0.032771	46.8059
12.5613	0.032764	46.8012
12.6113	0.032764	46.7960
12.6613	0.032766	46.7911
12.7032	0.032773	46.7870
12.7532	0.032779	46.7817
12.8032	0.032781	46.7772
12.8532	0.032775	46.7721
12.9111	0.032773	46.7659
12.9611	0.032785	46.7608
13.0111	0.032791	46.7561
13.0611	0.032787	46.7507
13.1033	0.032787	46.7468
13.1533	0.032793	46.7420
13.2033	0.032795	46.7367
13.2533	0.032799	46.7322
13.3110	0.032801	46.7262
13.3610	0.032793	46.7207
13.4110	0.032799	46.7156
13.4610	0.032811	46.7110
13.5033	0.032809	46.7071
13.5533	0.032803	46.7019
13.6033	0.032797	46.6970
13.6533	0.032805	46.6921
13.6948	0.032815	46.6878
13.7448	0.032811	46.6830
13.7948	0.032809	46.6777
13.8448	0.032815	46.6727
13.9027	0.032823	46.6670
13.9527	0.032823	46.6617
